HMR,HSR_Coeff,FFR,CFR,BMR/HMR
1.4,2.847810041,0.25,1.071428571,1.632653061
3.684210526,3.652330292,0.265822785,0.93442623,1.290398126
3.434343434,3.368423013,0.272,1.302631579,1.494195046
1.769230769,2.950916555,0.277108434,1.007751938,2.409841591
2.8,3.193043699,0.311111111,1.075268817,2.073732719
3.3,3.2395011,0.323529412,1.333333333,1.696969697
2.197802198,3.084629216,0.333333333,0.91,1.0465
1.619047619,2.582288223,0.336633663,1.3125,2.007352941
2.529411765,2.848239186,0.346774194,1.214285714,1.524916944
4.404761905,3.38460235,0.352380952,1.012048193,1.148811462
9,4.002712001,0.36,1.333333333,2.222222222
3.909090909,3.187098359,0.367521368,1.30952381,1.492248062
1.583333333,2.432621216,0.38,1.090909091,1.66507177
1.714285714,2.49657611,0.395604396,1.4,2.372222222
10.75,3.952406883,0.43,1.428571429,2.159468439
1.102564103,1.974397651,0.43,1.344827586,1.876503609
3.307692308,2.928640161,0.43,1.3,1.813953488
2.75,2.855073374,0.445945946,1.558441558,1.794569067
1.956521739,2.417559027,0.45,1.4375,1.756944444
2.9375,2.7482869,0.451923077,1.333333333,1.843971631
1.03030303,1.976407986,0.453333333,1.064516129,1.565464896
2.555555556,2.622500759,0.46,0.9,0.97826087
1.56,2.257984506,0.464285714,1.5625,2.524038462
4.7,3.124927879,0.47,1.25,1.728723404
4.615384615,3.154667083,0.471910112,1.166666667,1.555555556
3.066666667,2.747439496,0.479166667,1.5,2.184782609
3.636363636,2.94111593,0.487804878,1.428571429,2.357142857
3.0625,2.69998222,0.49,1.6,2.12244898
2.777777778,2.589077004,0.5,1.058823529,1.503529412
0.955555556,1.717476272,0.505882353,1.285714286,1.88372093
0.763636364,1.521986622,0.512195122,2.5,4.345238095
2.166666667,2.321470763,0.52,1.043478261,1.204013378
0.963636364,1.592024488,0.53,1.018518519,1.191474493
2.944444444,2.562204857,0.53,1.285714286,1.576819407
2.095238095,2.347278027,0.530120482,1.4,1.877272727
6.941176471,3.232010238,0.546296296,1.164383562,1.776178314
3.666666667,2.701682005,0.55,1.363636364,1.561983471
1.194444444,1.832115052,0.551282051,3,4.88372093
1.59375,1.992412044,0.56043956,2.133333333,3.262745098
1.192307692,1.64074318,0.568807339,1.368421053,1.986417657
4.428571429,2.77115377,0.574074074,1.555555556,2.082437276
1.791666667,2.13159122,0.581081081,1.5,1.988372093
3.055555556,2.481171606,0.585106383,2.045454545,2.938016529
1.261904762,1.722355153,0.588888889,1.68,2.757735849
4.285714286,2.710455929,0.6,1.272727273,1.633333333
3.533333333,2.592537536,0.602272727,2.459016393,4.314877822
0.854545455,1.411288324,0.602564103,1.375,1.960106383
3.769230769,2.664126999,0.6125,1.666666667,2.414965986
1.694444444,1.867830605,0.616161616,1.714285714,2.304449649
1.433962264,1.624198128,0.617886179,2.12,2.594210526
3.777777778,2.51335629,0.618181818,1.125,1.422794118
1.651162791,1.767183554,0.622807018,2.6875,4.012323944
2.307692308,2.102184231,0.638297872,2.166666667,3.286111111
2.730769231,2.172765305,0.63963964,1.181818182,1.33162612
1.896551724,1.952977268,0.647058824,2.230769231,3.163636364
2.954545455,2.259874692,0.65,1.375,1.565384615
1.477272727,1.657814701,0.65,2.2,2.876923077
1.882352941,1.869173092,0.653061224,2,2.75
2.846153846,2.161769921,0.654867257,2.6,3.372972973
1.314814815,1.492166991,0.663551402,1.542857143,2.129577465
1.875,1.867473308,0.666666667,1.777777778,2.666666667
1.25,1.515290789,0.666666667,2.666666667,3.288888889
1.032786885,1.321354033,0.670212766,1.605263158,2.038429407
2.64,2.10992197,0.673469388,2.272727273,3.099173554
1.696969697,1.794987894,0.674698795,1.941176471,3.085084034
2.2,2.01974534,0.679012346,2.083333333,2.916666667
1.65625,1.788292062,0.679487179,2.909090909,4.061749571
1.454545455,1.590867911,0.680851064,2.933333333,4.4
1.5,1.60131146,0.692307692,2.1,2.8
2.904761905,2.187577184,0.693181818,1.4,1.698360656
1.5625,1.732774734,0.694444444,3.2,4.352
2.48,2.036135756,0.696629213,2.272727273,3.262463343
2.384615385,2.002069078,0.696629213,2.166666667,2.830645161
1.875,1.805325401,0.697674419,2.461538462,3.487179487
1.931034483,1.856067255,0.7,2.071428571,2.62627551
2.625,2.07159329,0.7,2.181818182,2.83982684
7,2.877773264,0.7,1.25,1.535714286
1.90625,1.805325401,0.701149425,1.333333333,1.704918033
1.868421053,1.718206071,0.702970297,2.923076923,4.158179848
1.828571429,1.743879685,0.703296703,2.5,3.5546875
0.890625,1.168503303,0.703703704,3.2,4.715789474
1.288888889,1.474438224,0.707317073,3.214285714,4.322660099
4.142857143,2.48860718,0.707317073,1.166666667,1.367816092
2.434782609,2.038924173,0.708860759,2.090909091,2.875
1.948717949,1.709884489,0.710280374,1.625,2.202302632
1.522727273,1.545110421,0.712765957,1.76,2.364179104
1.804347826,1.593650286,0.715517241,2.875,3.983433735
2.189189189,1.76939854,0.716814159,2.3125,3.083333333
3.428571429,2.203371451,0.72,1.05,1.166666667
1.411764706,1.432669689,0.72,1.821428571,2.150297619
1.070422535,1.16053331,0.723809524,2.62962963,3.460038986
0.769230769,0.843706586,0.727272727,2.476190476,3.311904762
2.4,1.877773264,0.727272727,3.296703297,4.441391941
7.3,2.832015774,0.73,1.25,1.489726027
2.703703704,1.969288245,0.73,1.8,2.194520548
1.32,1.382923243,0.733333333,3.125,4.308712121
0.853658537,0.970964313,0.736842105,3.416666667,4.783333333
1.987179487,1.754765502,0.738095238,3.627906977,4.681170293
2.708333333,2.001957362,0.738636364,2.666666667,3.569230769
2.366666667,1.844349509,0.739583333,1.428571429,1.830985915
1.761904762,1.569126777,0.74,1.909090909,2.167076167
1.8,1.654938602,0.741176471,2.916666667,3.75
1.358490566,1.350040279,0.742268041,1.827586207,2.512931034
1.564102564,1.54074209,0.743902439,3.545454545,4.82414307
2.133333333,1.788832181,0.744186047,2.142857143,2.678571429
3.578947368,2.204872644,0.747252747,1.583333333,1.979166667
2.4,1.826620742,0.75,1.875,1.796875
1.073529412,1.115845426,0.75257732,3.777777778,5.01978691
2.266666667,1.788832181,0.755555556,1.764705882,2.179930796
1.789473684,1.583507497,0.755555556,1.80952381,2.075630252
2.142857143,1.616551427,0.756302521,2.8,3.173333333
2.083333333,1.66825825,0.757575758,1.5,2.04
2.322580645,1.779656458,0.757894737,4.769230769,6.623931624
2.117647059,1.699422011,0.757894737,3.090909091,3.648989899
1.916666667,1.630469689,0.758241758,2,2.492753623
1.525,1.475285628,0.7625,2.222222222,2.550091075
1.625,1.351433987,0.764705882,2.074074074,2.347578348
1.571428571,1.455183424,0.76744186,3,4
2.807692308,1.913127994,0.768421053,1.857142857,2.467710372
2.8,1.926991287,0.769230769,2.5,2.821428571
0.967741935,1.071141136,0.769230769,1.9375,2.260416667
2.75862069,1.856067255,0.769230769,2.416666667,3.020833333
1.784313725,1.416875421,0.771186441,2.217391304,2.63162924
1.924528302,1.429221525,0.772727273,1.177777778,1.270152505
0.984848485,1.040317739,0.773809524,2.129032258,2.55483871
1.309090909,1.242145925,0.774193548,2.5,3.090277778
2.482758621,1.798075308,0.774193548,1.611111111,1.857253086
1.921052632,1.563304111,0.776595745,1.9,2.394520548
4.375,2.117350781,0.777777778,2.4,3.017142857
1.044776119,1.0495324,0.777777778,2.481481481,2.977777778
1.857142857,1.49657611,0.78,3.230769231,3.727810651
2.84,1.905801988,0.78021978,1.923076923,2.491874323
1.975,1.538954708,0.782178218,1.538461538,1.927945472
1.31147541,1.17241502,0.784313725,1.967741935,2.435080645
2.84,1.883525593,0.788888889,2.5,2.992957746
0.924731183,0.825413948,0.788990826,2.447368421,2.845777234
1.316666667,1.166568803,0.79,4.285714286,5.153707052
2.633333333,1.768628795,0.79,2.727272727,2.934407365
2.194444444,1.610266303,0.79,2.4,2.612658228
4.157894737,2.165364102,0.79,1.727272727,1.945914845
1.422222222,1.324675903,0.790123457,1.5,1.828125
1.361111111,1.40199036,0.790322581,1.714285714,2.16909621
2.266666667,1.701682005,0.790697674,4.285714286,5.168067227
1.288135593,1.159977982,0.791666667,3.470588235,4.064241486
1.826086957,1.417559027,0.79245283,1.642857143,2.092687075
3.074074074,1.860143776,0.798076923,4.426229508,5.226150504
